r	boost_fr	poly_fr
5.03	0.00683122		0
5.04	0.00676231		0
5.05	0.00669412		0
5.06	0.00662663		0
5.07	0.00655984		0
5.08	0.00649374		0
5.09	0.00642832		0
5.1	0.00636357		0
5.11	0.00629949		0
5.12	0.00623607		0
5.13	0.00617331		0
5.14	0.00611119		0
5.15	0.00604971		0
5.16	0.00598886		0
5.17	0.00592864		0
5.18	0.00586903		0
5.19	0.00581004		0
5.2	0.00575166		0
5.21	0.00569387		0
5.22	0.00563668		0
5.23	0.00558008		0
5.24	0.00552406		0
5.25	0.00546861		0
5.26	0.00541373		0
5.27	0.00535941		0
5.28	0.00530565		0
5.29	0.00525245		0
5.3	0.00519978		0
5.31	0.00514766		0
5.32	0.00509607		0
5.33	0.00504501		0
5.34	0.00499447		0
5.35	0.00494444		0
5.36	0.00489493		0
5.37	0.00484593		0
5.38	0.00479742		0
5.39	0.00474942		0
5.4	0.0047019		0
5.41	0.00465487		0
5.42	0.00460831		0
5.43	0.00456224		0
5.44	0.00451663		0
5.45	0.00447149		0
5.46	0.00442681		0
5.47	0.00438258		0
5.48	0.00433881		0
5.49	0.00429548		0
5.5	0.00425259		0
5.51	0.00421014		0
5.52	0.00416812		0
5.53	0.00412653		0
5.54	0.00408536		0
5.55	0.00404461		0
5.56	0.00400428		0
5.57	0.00396436		0
5.58	0.00392484		0
5.59	0.00388572		0
5.6	0.003847		0
5.61	0.00380868		0
5.62	0.00377074		0
5.63	0.00373319		0
5.64	0.00369602		0
5.65	0.00365922		0
5.66	0.0036228		0
5.67	0.00358675		0
5.68	0.00355107		0
5.69	0.00351574		0
5.7	0.00348078		0
5.71	0.00344617		0
5.72	0.00341191		0
5.73	0.00337799		0
5.74	0.00334442		0
5.75	0.00331119		0
5.76	0.0032783		0
5.77	0.00324574		0
5.78	0.0032135		0
5.79	0.0031816		0
5.8	0.00315001		0
5.81	0.00311875		0
5.82	0.0030878		0
5.83	0.00305717		0
5.84	0.00302684		0
5.85	0.00299682		0
5.86	0.0029671		0
5.87	0.00293768		0
5.88	0.00290856		0
5.89	0.00287974		0
5.9	0.0028512		0
5.91	0.00282295		0
5.92	0.00279499		0
5.93	0.00276731		0
5.94	0.0027399		0
5.95	0.00271278		0
5.96	0.00268592		0
5.97	0.00265934		0
5.98	0.00263302		0
5.99	0.00260697		0
6	0		0
6.01	0		0
6.02	0		0
6.03	0		0
